"ad_date","source","campaign_name","adset_name","utm_campaign","total_spend","total_clicks","total_impressions","total_reach","total_leads","total_value"
2020-12-06,Google,Discounts,True power,discounts,2225,289,12710,1560,8,1704
2020-12-07,Facebook,Discounts,True power,discounts,3729,162,17289,16527,6,6076
2020-12-08,Facebook,Discounts,True power,discounts,3716,280,5474,5001,0,5495
2020-12-08,Google,Discounts,True power,discounts,936,102,4753,3106,4,965
2020-12-09,Facebook,Discounts,True power,discounts,2565,68,4642,9670,3,4245
2020-12-09,Google,Discounts,True power,discounts,2493,209,5377,3442,3,3896
2020-12-10,Facebook,Discounts,True power,discounts,2552,121,8250,7111,6,2425
2020-12-10,Google,Discounts,True power,discounts,678,29,7192,9742,1,977
2020-12-11,Google,Discounts,True power,discounts,2839,174,5284,7259,1,3105
2020-12-12,Facebook,Discounts,True power,discounts,3633,210,9420,2082,3,4183
2020-12-12,Google,Discounts,True power,discounts,1693,31,9043,3509,0,1500
2020-12-13,Facebook,Discounts,True power,discounts,2503,223,8037,10953,5,2872
2020-12-13,Google,Discounts,True power,discounts,2284,198,5596,9777,1,3301
2020-12-14,Facebook,Discounts,True power,discounts,1598,142,11581,10053,3,1589
2020-12-15,Facebook,Discounts,True power,discounts,3150,100,9275,5469,1,3690
2020-12-15,Google,Discounts,True power,discounts,2069,106,1574,3645,1,2874
2020-12-16,Facebook,Discounts,True power,discounts,3203,169,9037,5686,4,2456
2020-12-16,Google,Discounts,True power,discounts,2226,248,1695,2875,0,2653
2020-12-17,Facebook,Discounts,True power,discounts,2739,158,11930,11208,2,2754
2020-12-17,Google,Discounts,True power,discounts,1002,198,1800,9206,0,1065
2020-12-18,Facebook,Discounts,True power,discounts,1116,233,11041,6597,2,1528
2020-12-18,Google,Discounts,True power,discounts,2355,163,8704,8927,1,2744
2020-12-19,Facebook,Discounts,True power,discounts,726,340,10078,2905,8,1244
2020-12-19,Google,Discounts,True power,discounts,884,207,11212,8531,6,581
2020-12-20,Facebook,Discounts,True power,discounts,1731,277,2370,7010,4,1712
2020-12-20,Google,Discounts,True power,discounts,3383,319,5482,4626,1,3513
2020-12-21,Facebook,Discounts,True power,discounts,2307,223,10143,9926,1,3150
2020-12-21,Google,Discounts,True power,discounts,3253,106,8603,10721,4,2578
2020-12-22,Facebook,Discounts,True power,discounts,2511,314,5155,10250,4,2752
2020-12-22,Google,Discounts,True power,discounts,1211,234,3317,9646,8,1835
2020-12-23,Google,Discounts,True power,discounts,548,62,5361,1452,3,625
2020-12-24,Google,Discounts,True power,discounts,1904,143,3597,9038,5,2773
2020-12-25,Facebook,Brand,Improved,recognition,1099,6,5520,8223,0,1691
2020-12-25,Google,Discounts,True power,discounts,2049,57,3884,5679,5,3297
2020-12-26,Facebook,Brand,Improved,recognition,1068,3,5274,6693,0,1692
2020-12-26,Facebook,Brand,Travel,recognition,432,2,4870,3822,0,401
2020-12-26,Facebook,Brand,Reach 2,recognition,264,14,14034,11218,1,462
2020-12-26,Facebook,Discounts,True power,discounts,4014,370,3840,4237,8,6140
2020-12-26,Google,Brand,Travel,recognition,420,2,6200,3061,0,325
2020-12-26,Google,Brand,Improved,recognition,1098,3,754,6248,0,1112
2020-12-26,Google,Discounts,True power,discounts,834,249,12062,1405,2,1327
2020-12-27,Facebook,Brand,Travel,recognition,406,9,1683,2615,0,431
2020-12-27,Facebook,Brand,Reach 2,recognition,826,21,17365,53244,0,881
2020-12-27,Facebook,Brand,Improved,recognition,717,0,6236,4700,0,1157
2020-12-27,Facebook,Discounts,True power,discounts,3422,514,7751,3576,1,5162
2020-12-27,Google,Brand,Improved,recognition,1108,0,4692,2820,0,1147
2020-12-27,Google,Brand,Travel,recognition,419,6,7601,892,0,654
2020-12-27,Google,Discounts,True power,discounts,1358,261,3219,7243,7,1723
2020-12-28,Facebook,Brand,Travel,recognition,1,0,18,35,0,1
2020-12-28,Facebook,Brand,Reach 2,recognition,1487,10,27387,25160,0,2280
2020-12-28,Facebook,Brand,Improved,recognition,1296,0,1717,3835,0,1390
2020-12-28,Facebook,Discounts,True power,discounts,1441,80,9424,11915,6,2463
2020-12-28,Google,Brand,Travel,recognition,3,0,37,45,0,5
2020-12-28,Google,Discounts,True power,discounts,2461,75,3791,3601,4,3204
2020-12-29,Facebook,Brand,Improved,recognition,321,0,634,2798,0,280
2020-12-29,Facebook,Brand,Reach 2,recognition,1019,8,12103,37619,0,835
2020-12-29,Facebook,Discounts,True power,discounts,3797,154,12620,5190,3,4479
2020-12-29,Google,Brand,Improved,recognition,374,0,921,1395,0,335
2020-12-30,Facebook,Brand,Reach 2,recognition,95,0,7030,1886,0,122
2020-12-30,Facebook,Brand,Improved,recognition,1510,3,820,2846,0,1818
2020-12-30,Google,Discounts,True power,discounts,2772,199,8853,3328,3,3923
2020-12-31,Facebook,Brand,Improved,recognition,1287,1,3263,1563,0,1707
2020-12-31,Facebook,Discounts,True power,discounts,0,0,0,0,0,0
2020-12-31,Google,Brand,Improved,recognition,1368,3,2690,453,0,1403
2021-01-01,Facebook,Brand,Improved,recognition,39,0,353,406,0,59
2021-01-01,Facebook,Discounts,True power,discounts,0,0,0,0,0,0
2021-01-01,Google,Brand,Improved,recognition,105,0,186,211,0,148
2021-01-02,Facebook,Discounts,True power,discounts,774,205,10709,4836,7,690
2021-01-02,Google,Discounts,True power,discounts,1929,531,5175,4514,9,1461
2021-01-03,Google,Discounts,True power,discounts,4211,785,12160,14148,1,5815
2021-01-04,Facebook,Discounts,True power,discounts,7006,1256,22440,11055,21,6847
2021-01-05,Facebook,Discounts,True power,discounts,8115,1379,60232,50117,20,6168
2021-01-06,Facebook,Brand,Improved,recognition,7,0,121,160,0,7
2021-01-06,Facebook,Discounts,True power,discounts,14270,431,65144,79991,19,14590
2021-01-06,Google,Brand,Improved,recognition,2,0,95,51,0,3
2021-01-07,Facebook,Brand,Improved,recognition,305,0,2742,1714,0,474
2021-01-07,Facebook,Discounts,True power,discounts,11637,1480,53143,64515,10,17820
2021-01-07,Google,Brand,Improved,recognition,336,0,991,594,0,507
2021-01-07,Google,Discounts,True power,discounts,6750,1526,83285,25063,29,6495
2021-01-08,Facebook,Brand,Improved,recognition,96,2,1064,1974,0,139
2021-01-08,Facebook,Discounts,True power,discounts,6101,2639,32489,56337,17,8364
2021-01-08,Google,Brand,Improved,recognition,226,0,671,2491,0,361
2021-01-09,Facebook,Discounts,True power,discounts,5363,708,47079,50994,30,4094
2021-01-10,Facebook,Discounts,True power,discounts,1680,679,15045,9633,6,1586
2021-01-10,Google,Discounts,True power,discounts,2707,765,3683,8074,6,4416
2021-01-11,Facebook,Discounts,True power,discounts,2846,650,18584,33606,0,3244
2021-01-12,Facebook,Brand,Improved,recognition,359,2,1062,1762,0,381
2021-01-12,Facebook,Discounts,True power,discounts,13311,1656,38693,30049,18,21600
2021-01-12,Google,Brand,Improved,recognition,297,4,1015,1375,0,473
2021-01-13,Facebook,Brand,Improved,recognition,189,1,2693,928,0,220
2021-01-13,Facebook,Discounts,True power,discounts,5097,1511,28028,46286,22,5221
2021-01-13,Google,Brand,Improved,recognition,282,1,2814,1053,0,271
2021-01-13,Google,Discounts,True power,discounts,10112,947,44611,57080,17,13833
2021-01-14,Facebook,Brand,Improved,recognition,72,0,1035,1005,0,76
2021-01-14,Google,Discounts,True power,discounts,3318,261,73978,27786,8,3570
2021-01-15,Facebook,Brand,Improved,recognition,234,0,3137,2795,0,365
2021-01-15,Facebook,Discounts,True power,discounts,7599,1180,49150,61206,9,13014
2021-01-16,Facebook,Brand,Improved,recognition,186,2,980,2038,0,281
2021-01-16,Facebook,Discounts,True power,discounts,12635,668,77416,61937,11,12104
2021-01-16,Google,Brand,Improved,recognition,50,1,2154,1774,0,57
2021-01-16,Google,Discounts,True power,discounts,3055,249,10579,67474,15,4486
2021-01-17,Facebook,Discounts,True power,discounts,3666,903,38189,31780,20,5809
2021-01-17,Google,Brand,Improved,recognition,41,0,728,1482,0,55
2021-01-17,Google,Discounts,True power,discounts,7553,377,14118,36040,11,11109
2021-01-18,Facebook,Brand,Improved,recognition,328,0,1597,861,0,360
2021-01-18,Facebook,Discounts,True power,discounts,2735,124,27331,21430,3,2602
2021-01-18,Google,Brand,Improved,recognition,58,0,1475,977,0,50
2021-01-18,Google,Discounts,True power,discounts,752,227,17788,9621,9,677
2021-01-19,Facebook,Brand,Improved,recognition,64,0,211,420,0,102
2021-01-19,Facebook,Discounts,True power,discounts,1120,186,6891,13421,2,1402
2021-01-19,Google,Brand,Improved,recognition,21,0,291,66,0,20
2021-01-20,Facebook,Brand,Improved,recognition,311,2,1319,441,0,371
2021-01-20,Facebook,Discounts,True power,discounts,1594,125,7279,6368,2,2648
2021-01-20,Google,Brand,Improved,recognition,142,1,811,1215,0,111
2021-01-20,Google,Discounts,True power,discounts,1267,179,8527,7018,4,1414
2021-01-21,Facebook,Brand,Improved,recognition,218,0,1483,1209,0,287
2021-01-21,Facebook,Discounts,True power,discounts,1548,202,4956,10440,5,2510
2021-01-21,Google,Discounts,True power,discounts,1791,69,9879,9560,3,1522
2021-01-22,Facebook,Brand,Improved,recognition,136,0,3088,1572,0,215
2021-01-22,Facebook,Discounts,True power,discounts,2078,220,5850,10696,3,3386
2021-01-22,Google,Brand,Improved,recognition,58,0,684,493,0,45
2021-01-22,Google,Discounts,True power,discounts,1755,199,1661,3526,4,1415
2021-01-23,Facebook,Discounts,True power,discounts,711,176,12488,6546,4,710
2021-01-23,Google,Brand,Improved,recognition,235,0,541,629,0,176
2021-01-24,Facebook,Brand,Improved,recognition,8,0,113,38,0,13
2021-01-24,Facebook,Discounts,True power,discounts,2177,178,9548,2546,4,2323
2021-01-24,Google,Brand,Improved,recognition,21,0,126,61,0,19
2021-01-24,Google,Discounts,True power,discounts,2295,173,2122,6227,5,2930
2021-01-25,Facebook,Discounts,True power,discounts,1413,180,7923,7487,3,2405
2021-01-25,Google,Discounts,True power,discounts,1278,222,1398,2173,2,1449
2021-01-26,Facebook,Brand,Research,бренд,144,3,6151,3968,0,136
2021-01-26,Facebook,Discounts,True power,discounts,1843,98,8760,5155,1,1534
2021-01-27,Facebook,Brand,Reach 2,recognition,168,1,7306,1499,0,210
2021-01-27,Facebook,Brand,Research,бренд,553,7,1722,4932,0,608
2021-01-27,Facebook,Discounts,True power,discounts,1878,116,4880,2741,2,1956
2021-01-28,Facebook,Brand,Research,бренд,109,3,2361,2235,0,110
2021-01-28,Facebook,Discounts,True power,discounts,2736,113,11447,3090,2,2850
2021-01-28,Google,Discounts,True power,discounts,394,103,7294,1118,3,484
2021-01-29,Facebook,Discounts,True power,discounts,996,144,8466,9716,1,1282
2021-01-30,Google,Discounts,True power,discounts,2077,96,3945,3919,4,3310
2021-01-31,Facebook,Discounts,True power,discounts,1278,95,6206,5319,1,1261
2021-01-31,Google,Discounts,True power,discounts,1269,56,4975,3145,1,1379
2021-02-01,Facebook,Discounts,True power,discounts,2800,130,10775,7184,2,2627
2021-02-01,Google,Discounts,True power,discounts,2096,42,5491,5994,2,2608
2021-02-02,Facebook,Discounts,True power,discounts,2869,97,1813,3645,0,3825
2021-02-02,Google,Discounts,True power,discounts,829,99,2051,2007,4,1129
2021-02-03,Facebook,Discounts,True power,discounts,735,107,1308,3370,2,1155
2021-02-03,Google,Discounts,True power,discounts,817,18,3434,1577,2,1049
2021-02-04,Facebook,Discounts,True power,discounts,708,48,3016,2199,4,947
2021-02-04,Google,Discounts,True power,discounts,2156,58,10329,6699,1,3050
2021-02-05,Facebook,Discounts,True power,discounts,1075,176,1784,10959,2,887
2021-02-05,Google,Discounts,True power,discounts,1286,183,9265,5596,2,1244
2021-02-06,Facebook,Discounts,True power,discounts,1226,242,5852,8336,2,1290
2021-02-06,Google,Discounts,True power,discounts,1544,60,9120,6791,3,1202
2021-02-07,Facebook,Discounts,True power,discounts,789,73,3931,7914,0,898
2021-02-08,Facebook,Discounts,True power,discounts,596,124,4919,2040,4,635
2021-02-08,Google,Discounts,True power,discounts,516,102,6553,4221,3,660
2021-02-09,Facebook,Discounts,True power,discounts,585,153,6840,7838,2,864
2021-02-09,Google,Discounts,True power,discounts,2156,39,5955,6173,5,2342
2021-02-10,Facebook,Discounts,True power,discounts,2410,110,6428,2361,1,3321
2021-02-10,Google,Discounts,True power,discounts,1947,109,5405,7525,2,2178
2021-02-11,Facebook,Discounts,True power,discounts,1053,66,6239,5164,1,1683
2021-02-12,Facebook,Discounts,True power,discounts,1432,110,3761,2545,3,2372
2021-02-12,Google,Discounts,True power,discounts,1570,21,3492,795,1,1603
2021-02-13,Facebook,Discounts,True power,discounts,2884,54,7366,7156,0,3243
2021-02-13,Google,Discounts,True power,discounts,799,101,4060,3098,3,677
2021-02-14,Facebook,Discounts,True power,discounts,2791,40,3591,6311,4,3363
2021-02-14,Google,Discounts,True power,discounts,1974,126,2776,7245,3,3246
2021-02-15,Facebook,Discounts,True power,discounts,2153,117,9526,9443,4,2416
2021-02-15,Google,Discounts,True power,discounts,1158,59,8654,8336,5,1501
2021-02-16,Facebook,Discounts,True power,discounts,2225,47,7960,1517,4,3175
2021-02-17,Facebook,Discounts,True power,discounts,639,109,9268,7875,2,585
2021-02-17,Google,Discounts,True power,discounts,1979,127,4594,3196,0,2036
2021-02-18,Facebook,Discounts,True power,discounts,1879,158,1704,1806,1,2575
2021-02-18,Google,Discounts,True power,discounts,2305,90,5823,3322,4,2010
2021-02-19,Facebook,Brand,Spotlight,бренд,82,4,17157,21826,0,130
2021-02-19,Facebook,Discounts,True power,discounts,2044,258,12933,11660,1,1841
2021-02-20,Facebook,Brand,Spotlight,бренд,162,6,16058,15804,0,222
2021-02-20,Facebook,Discounts,True power,discounts,4631,244,3653,5043,5,5763
2021-02-20,Google,Discounts,True power,discounts,3562,128,9250,12151,1,5614
2021-02-21,Facebook,Brand,Spotlight,бренд,168,8,3775,10172,0,142
2021-02-21,Facebook,Discounts,True power,discounts,3835,445,6287,5677,7,6298
2021-02-22,Facebook,Brand,Spotlight,бренд,184,0,3679,7337,0,169
2021-02-22,Facebook,Discounts,True power,discounts,5427,420,13680,21801,10,7128
2021-02-22,Google,Discounts,True power,discounts,5231,488,11383,7439,0,8090
2021-02-23,Facebook,Discounts,True power,discounts,3319,147,12352,4481,2,3434
2021-02-24,Facebook,Discounts,True power,discounts,5620,99,14526,13650,5,6609
2021-02-24,Google,Discounts,True power,discounts,1948,110,8640,6633,0,1332
2021-02-25,Facebook,Discounts,True power,discounts,3190,213,3030,8199,1,4706
2021-02-25,Google,Discounts,True power,discounts,1479,23,9576,9023,2,1710
2021-02-27,Facebook,Discounts,True power,discounts,0,0,0,0,0,0
2021-02-27,Google,Discounts,True power,discounts,0,0,0,0,0,0
2021-02-28,Facebook,Discounts,True power,discounts,0,0,0,0,0,0
2021-02-28,Google,Discounts,True power,discounts,0,0,0,0,0,0
2021-03-05,Facebook,Brand,Reach 2,recognition,749,5,27963,4709,0,1227
2021-03-06,Facebook,Brand,Reach 2,recognition,1025,6,7098,18519,0,1195
2021-03-07,Facebook,Brand,Reach 2,recognition,649,4,7067,14136,0,876
2021-03-09,Facebook,Brand,Reach 2,recognition,510,22,10350,24548,0,560
2021-03-10,Facebook,Brand,Reach 2,recognition,702,4,7257,4653,0,590
2021-03-11,Facebook,Brand,Reach 2,recognition,920,10,25174,11294,0,1219
2021-03-12,Facebook,Brand,Reach 2,recognition,832,1,15034,13549,0,872
2021-03-13,Facebook,Brand,Reach 2,recognition,81,0,3616,5366,0,138
2021-04-07,Facebook,Brand,Reach 4,recognition,71,3,1355,1280,0,104
2021-04-08,Facebook,Brand,Reach 3,recognition,569,6,1039,2713,0,911
2021-04-08,Facebook,Brand,Reach 4,recognition,326,10,3744,1847,0,298
2021-04-09,Facebook,Brand,Reach 4,recognition,86,0,2117,1545,0,127
2021-04-09,Facebook,Brand,Reach 3,recognition,322,3,4732,4555,0,473
2021-04-10,Facebook,Brand,Reach 4,recognition,211,6,1230,3155,0,171
2021-04-10,Facebook,Brand,Reach 3,recognition,270,5,1520,558,0,243
2021-04-14,Facebook,Electronics,Narrow,discounts,4333,619,65315,26964,7,6973
2021-04-14,Google,Electronics,Narrow,discounts,13935,348,29068,32250,10,10232
2021-04-15,Facebook,Electronics,Narrow,discounts,5443,507,24029,37158,10,5207
2021-04-15,Google,Electronics,Narrow,discounts,3288,424,39029,42201,7,2215
2021-04-16,Facebook,Electronics,Narrow,discounts,8602,379,24930,24315,7,6975
2021-04-16,Google,Electronics,Narrow,discounts,8969,395,26418,15987,2,13380
2021-04-17,Facebook,Electronics,Narrow,discounts,6244,146,30333,9279,1,6210
2021-04-18,Facebook,Electronics,Narrow,discounts,6705,336,48260,56003,3,8993
2021-04-18,Google,Electronics,Narrow,discounts,12835,380,35800,37535,6,8740
2021-04-19,Facebook,Electronics,Narrow,discounts,16880,252,58723,47325,6,26813
2021-04-19,Google,Electronics,Narrow,discounts,5962,427,47308,26299,2,5325
2021-04-20,Facebook,Electronics,Narrow,discounts,17115,522,60798,17491,2,14059
2021-04-20,Google,Electronics,Narrow,discounts,9720,450,13320,7425,0,10400
2021-04-21,Facebook,Electronics,Narrow,discounts,8331,371,29609,24493,5,12490
2021-04-21,Google,Electronics,Narrow,discounts,5284,447,36737,16729,7,3948
2021-04-22,Facebook,Electronics,Narrow,discounts,12584,435,37979,14110,2,16618
2021-04-22,Google,Electronics,Narrow,discounts,3037,403,4045,22306,1,4868
2021-04-23,Google,Electronics,Narrow,discounts,5111,65,26342,31821,2,3797
2021-04-24,Facebook,Electronics,Narrow,discounts,7372,120,42140,18776,6,6511
2021-04-24,Facebook,Promos,Parents,discounts,1139,68,8829,3956,1,1237
2021-04-25,Facebook,Electronics,Narrow,discounts,12020,64,33747,41282,2,17466
2021-04-25,Facebook,Promos,Parents,discounts,2043,135,3315,6646,0,4755
2021-04-25,Google,Promos,Parents,discounts,2933,48,8121,6748,2,4221
2021-04-26,Facebook,Electronics,Narrow,discounts,16996,100,51159,29680,0,27851
2021-04-26,Facebook,Promos,Parents,discounts,2327,18,15496,4822,1,3003
2021-04-26,Google,Electronics,Narrow,discounts,5155,242,24984,20334,9,5779
2021-04-26,Google,Promos,Parents,discounts,616,47,6324,10812,1,756
2021-04-27,Facebook,Promos,Parents,discounts,1307,18,4808,9733,1,2917
2021-04-27,Google,Electronics,Narrow,discounts,9524,264,12684,29647,4,9655
2021-04-28,Facebook,Promos,Parents,discounts,1742,56,6041,3421,1,1853
2021-04-28,Google,Electronics,Narrow,discounts,5422,59,42275,5693,2,4154
2021-04-29,Facebook,Promos,Parents,discounts,446,28,8664,7638,1,590
2021-04-29,Google,Promos,Parents,discounts,1834,39,4658,5910,1,1801
2021-04-30,Facebook,Electronics,Narrow,discounts,3496,257,49608,9966,2,4105
2021-04-30,Facebook,Promos,Parents,discounts,2006,31,9090,7790,0,4588
2021-04-30,Google,Promos,Parents,discounts,973,21,12451,2857,1,1265
2021-05-01,Facebook,Electronics,Narrow,discounts,8269,253,22655,40444,0,11305
2021-05-01,Facebook,Promos,Parents,discounts,1985,51,9767,10211,1,4233
2021-05-01,Google,Electronics,Narrow,discounts,8618,119,53355,42226,5,10548
2021-05-02,Facebook,Electronics,Narrow,discounts,3104,289,69902,38153,4,3070
2021-05-02,Google,Electronics,Narrow,discounts,14829,194,13369,27461,8,23858
2021-05-02,Google,Promos,Parents,discounts,1894,49,7099,1097,0,2937
2021-05-03,Facebook,Electronics,Narrow,discounts,11782,230,74494,44862,1,19255
2021-05-03,Facebook,Promos,Parents,discounts,474,63,11315,3827,1,929
2021-05-03,Google,Electronics,Narrow,discounts,1814,444,44455,16984,1,1833
2021-05-03,Google,Promos,Parents,discounts,1155,91,5737,4508,0,795
2021-05-04,Facebook,Electronics,Narrow,discounts,13898,491,17095,38104,2,14815
2021-05-04,Google,Electronics,Narrow,discounts,3604,130,35246,11657,4,4209
2021-05-05,Facebook,Electronics,Narrow,discounts,6610,211,31588,26187,1,9346
2021-05-05,Facebook,Promos,Parents,discounts,723,37,2792,11984,1,906
2021-05-05,Google,Electronics,Narrow,discounts,5553,125,62226,40817,1,8318
2021-05-06,Facebook,Electronics,Narrow,discounts,8864,78,48172,22421,9,14437
2021-05-06,Google,Electronics,Narrow,discounts,6946,103,39675,33004,3,6426
2021-05-06,Google,Promos,Parents,discounts,2396,34,2182,6064,1,2133
2021-05-07,Facebook,Electronics,Narrow,discounts,12384,412,53440,19655,3,13326
2021-05-07,Facebook,Promos,Parents,discounts,1143,69,11992,8810,1,2481
2021-05-07,Google,Electronics,Narrow,discounts,6218,124,50408,18231,6,4058
2021-05-07,Google,Promos,Parents,discounts,910,15,12432,2154,1,1442
2021-05-08,Facebook,Electronics,Narrow,discounts,17684,356,63243,40366,7,23943
2021-05-08,Facebook,Promos,Parents,discounts,1539,36,6175,13844,1,2224
2021-05-08,Google,Electronics,Narrow,discounts,4625,172,23553,8344,3,6632
2021-05-08,Google,Promos,Parents,discounts,2494,65,9121,6052,1,3872
2021-05-09,Facebook,Electronics,Narrow,discounts,7983,138,42770,33905,3,13366
2021-05-09,Facebook,Promos,Parents,discounts,2264,33,10717,11166,1,3698
2021-05-09,Google,Promos,Parents,discounts,1640,53,7187,9522,0,1217
2021-05-10,Facebook,Electronics,Narrow,discounts,13986,323,29230,25881,4,14845
2021-05-10,Facebook,Promos,Parents,discounts,2381,26,6669,4178,2,3796
2021-05-10,Google,Electronics,Narrow,discounts,3319,83,49431,8680,7,5057
2021-05-10,Google,Promos,Parents,discounts,2404,34,3057,3124,2,3656
2021-05-11,Facebook,Electronics,Narrow,discounts,8447,97,51489,27212,4,8448
2021-05-11,Facebook,Promos,Parents,discounts,1526,61,5442,3219,1,3129
2021-05-11,Google,Electronics,Narrow,discounts,4389,271,6261,12566,6,4003
2021-05-12,Facebook,Electronics,Narrow,discounts,16978,157,36296,13179,9,15421
2021-05-12,Facebook,New items,Development,,1371,26,2506,4958,0,1549
2021-05-12,Facebook,Promos,Parents,discounts,2322,51,11419,3914,0,3203
2021-05-12,Google,Electronics,Narrow,discounts,13610,372,27227,42442,3,12730
2021-05-12,Google,New items,Development,,554,84,2227,2736,2,385
2021-05-12,Google,Promos,Parents,discounts,1521,33,6100,7284,0,2109
2021-05-13,Facebook,Electronics,Narrow,discounts,14539,289,14178,27961,2,20553
2021-05-13,Facebook,New items,Development,,572,133,12187,11233,3,889
2021-05-13,Facebook,Promos,Parents,discounts,720,82,11236,5292,1,1310
2021-05-13,Google,New items,Development,,2360,108,3918,5813,0,1853
2021-05-13,Google,Promos,Parents,discounts,1705,26,6801,6200,2,1540
2021-05-14,Facebook,Electronics,Narrow,discounts,8283,241,49061,9751,3,6294
2021-05-14,Facebook,Lookalike,Broad new,you_might_like,2573,77,6934,14329,2,2229
2021-05-14,Facebook,Lookalike,Broad,you_might_like,7195,353,15409,14542,7,11408
2021-05-14,Facebook,New items,Development,,972,70,3973,6806,3,1476
2021-05-14,Facebook,Promos,Parents,discounts,2044,52,3982,10648,1,4704
2021-05-15,Facebook,Electronics,Narrow,discounts,937,43,7384,6809,0,963
2021-05-15,Facebook,Lookalike,Broad new,you_might_like,1098,13,892,515,1,1082
2021-05-15,Facebook,Lookalike,Broad,you_might_like,10380,206,8024,18761,10,15299
2021-05-15,Facebook,Promos,Parents,discounts,2284,41,10127,4653,0,3394
2021-05-15,Google,Promos,Parents,discounts,1670,59,7374,8499,2,2626
2021-05-16,Facebook,Lookalike,Broad,you_might_like,13350,741,57090,24060,8,19085
2021-05-16,Facebook,Lookalike,Broad new,you_might_like,891,20,3125,1527,1,1098
2021-05-16,Facebook,New items,Development,,2344,223,7986,12367,0,2958
2021-05-16,Facebook,Promos,Parents,discounts,1779,81,10720,12319,1,3663
2021-05-16,Google,New items,Development,,2635,257,6393,8389,4,1892
2021-05-16,Google,Promos,Parents,discounts,1359,71,11602,6059,0,1722
2021-05-17,Facebook,Electronics,Narrow,discounts,1546,30,3529,9380,1,2089
2021-05-17,Facebook,Lookalike,Broad new,you_might_like,1864,79,4388,2503,3,2482
